"INDEX","KEYVALUE.x","LABEL.x","RED.x","GREEN.x","BLUE.x","ALPHA.x","HEMISPHERE.x","NETWORK.x","NETWORKKEY.x","NETWORKSORTEDORDER.x","GLASSERLABELNAME.x","KEYVALUE.y","LABEL.y","RED.y","GREEN.y","BLUE.y","ALPHA.y","HEMISPHERE.y","NETWORK.y","NETWORKKEY.y","NETWORKSORTEDORDER.y","GLASSERLABELNAME.y","netho_diff_beta","netho_diff_t","netho_diff_para_p","netho_diff_para_q","netho_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
218,218,"Cingulo-Opercular-05_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,275,"R_23c_ROI",218,"Cingulo-Opercular-05_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,275,"R_23c_ROI",-0.440067650597191,-3.62558130234308,0.000340645079293651,0.0101341911089861,-0.440067650597191,0.486536788549851,0.136213731150517,0.418276326383585,0.140007749313411
219,219,"Somatomotor-04_R-Ctx",0,255,255,255,"R","Somatomotor",3,175,"R_5L_ROI",219,"Somatomotor-04_R-Ctx",0,255,255,255,"R","Somatomotor",3,175,"R_5L_ROI",0.254297377522619,1.99689942043938,0.0467737285364503,0.207431317857301,NA,0.451930784246268,0.160218541372141,0.481347787452007,0.17981726819812
220,220,"Somatomotor-05_R-Ctx",0,255,255,255,"R","Somatomotor",3,176,"R_24dd_ROI",220,"Somatomotor-05_R-Ctx",0,255,255,255,"R","Somatomotor",3,176,"R_24dd_ROI",0.00463087402240187,0.0380067750998548,0.96970852041139,0.984881768952677,NA,0.404472340246101,0.133812252579606,0.405507423014027,0.135870105341525
221,221,"Somatomotor-06_R-Ctx",0,255,255,255,"R","Somatomotor",3,177,"R_24dv_ROI",221,"Somatomotor-06_R-Ctx",0,255,255,255,"R","Somatomotor",3,177,"R_24dv_ROI",0.404925774860523,3.1694636181834,0.00169110151287395,0.0249659829335761,0.404925774860523,0.547153206961571,0.164519958431975,0.603882092179493,0.183027594412584
222,222,"Somatomotor-07_R-Ctx",0,255,255,255,"R","Somatomotor",3,178,"R_7AL_ROI",222,"Somatomotor-07_R-Ctx",0,255,255,255,"R","Somatomotor",3,178,"R_7AL_ROI",0.13011256996765,1.04236397474598,0.2981141331595,0.591412591308378,NA,0.676966021489801,0.198894258432327,0.682671623153602,0.22234081367282
223,223,"Cingulo-Opercular-06_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,250,"R_SCEF_ROI",223,"Cingulo-Opercular-06_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,250,"R_SCEF_ROI",-0.249263712993517,-2.17385271789885,0.0305277602318801,0.168967603143894,NA,0.490099328902344,0.147234495996615,0.445989327519414,0.136073758616662
224,224,"Cingulo-Opercular-07_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,251,"R_6ma_ROI",224,"Cingulo-Opercular-07_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,251,"R_6ma_ROI",-0.0404803222664092,-0.310137873884987,0.756679639801056,0.92664659644671,NA,0.378556067139306,0.118177609817345,0.366758387057231,0.136556587103605
225,225,"Cingulo-Opercular-08_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,252,"R_7Am_ROI",225,"Cingulo-Opercular-08_R-Ctx",153,0,153,255,"R","Cingulo-Opercular",4,252,"R_7Am_ROI",-0.0279361512783163,-0.247141817247455,0.804973946966674,0.931525766830155,NA,0.678927873003565,0.217331495356,0.650642332726584,0.205363135219632
226,226,"Dorsal-Attention-01_R-Ctx",0,255,0,255,"R","Dorsal-Attention",5,327,"R_7PL_ROI",226,"Dorsal-Attention-01_R-Ctx",0,255,0,255,"R","Dorsal-Attention",5,327,"R_7PL_ROI",-0.271285036775704,-2.28727896744883,0.0229022172400573,0.139762248798298,NA,0.902128034376309,0.252629534092461,0.826381765998847,0.244593587841621
227,227,"Somatomotor-08_R-Ctx",0,255,255,255,"R","Somatomotor",3,179,"R_7PC_ROI",227,"Somatomotor-08_R-Ctx",0,255,255,255,"R","Somatomotor",3,179,"R_7PC_ROI",0.0246523744484332,0.205982156254152,0.836949877186253,0.941948820241306,NA,0.533596990184493,0.191327178478673,0.528004733520745,0.190189821861048
