"INDEX","KEYVALUE","LABEL","RED","GREEN","BLUE","ALPHA","HEMISPHERE","NETWORK","NETWORKKEY","NETWORKSORTEDORDER","GLASSERLABELNAME","rsfa_diff_beta","rsfa_diff_t","rsfa_diff_para_p","rsfa_diff_para_q","rsfa_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
73,73,"Frontoparietal-33_L-Ctx",255,255,0,255,"L","Frontoparietal",7,403,"L_8C_ROI",-0.478546754626549,-4.34198271378803,1.95567285698756e-05,0.000825984183127686,-0.478546754626549,16.1836412692499,4.74087452496887,14.1127645842376,4.02022069440824
74,74,"Language-14_L-Ctx",0,155,155,255,"L","Language",6,366,"L_44_ROI",-0.243567148230326,-2.13878381696705,0.0332912962376183,0.1127507108425,NA,19.5826575617151,6.26824592954377,18.5940739073141,6.00160083945073
75,75,"Language-15_L-Ctx",0,155,155,255,"L","Language",6,367,"L_45_ROI",-0.204731768791232,-1.69224422647045,0.0916772048113667,0.21652708241632,NA,20.676129122293,6.98492389427061,19.7769519445827,7.34686956583194
76,76,"Default-55_L-Ctx",255,0,0,255,"L","Default",9,560,"L_47l_ROI",-0.27157521686131,-2.1314204056404,0.0338981357237036,0.114266955162531,NA,22.8558537490155,6.94130696745986,21.7986137965486,8.36824246825527
77,77,"Frontoparietal-34_L-Ctx",255,255,0,255,"L","Frontoparietal",7,404,"L_a47r_ROI",-0.286992144904505,-2.35328544820162,0.0192783027776885,0.0786467124680703,NA,21.3329259117156,8.65290340059215,19.8942577169309,9.90397270069956
78,78,"Cingulo-Opercular-40_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,230,"L_6r_ROI",-0.35976595473016,-3.30774422924424,0.00105947050699693,0.0117030742157508,-0.35976595473016,19.6577434171444,6.18542067084316,17.6052368770229,5.31371987850128
79,79,"Language-16_L-Ctx",0,155,155,255,"L","Language",6,368,"L_IFJa_ROI",-0.151028176183706,-1.29212663234338,0.197345552089749,0.363741514831182,NA,18.8943915766623,5.9766377126629,18.456699360906,5.89899155095851
80,80,"Frontoparietal-35_L-Ctx",255,255,0,255,"L","Frontoparietal",7,405,"L_IFJp_ROI",-0.323834686110559,-2.80882473724908,0.00531121271676793,0.0315161217408213,-0.323834686110559,21.6861897252133,6.63874185504565,19.7755108591848,6.23970097837376
81,81,"Language-17_L-Ctx",0,155,155,255,"L","Language",6,369,"L_IFSp_ROI",-0.344017358748685,-2.86109417925931,0.00452993811000602,0.0285306628331958,-0.344017358748685,20.1443953455334,6.09100941095451,18.6469564090801,6.26390220274064
82,82,"Frontoparietal-36_L-Ctx",255,255,0,255,"L","Frontoparietal",7,406,"L_IFSa_ROI",-0.429346405643007,-3.75520919874418,0.000209416637138058,0.00319917330776862,-0.429346405643007,21.6395122226551,6.396647528122,19.2732670319539,5.88039114095968
83,83,"Frontoparietal-37_L-Ctx",255,255,0,255,"L","Frontoparietal",7,407,"L_p9-46v_ROI",-0.431415352674971,-3.61310569048956,0.000356716834293933,0.00512245374046088,-0.431415352674971,19.3529683114039,5.98278086895423,17.2243834587928,6.00004508095424
84,84,"Cingulo-Opercular-41_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,231,"L_46_ROI",-0.235525556671605,-1.87068044469509,0.0623999211606896,0.174331297250487,NA,16.1255495027413,5.52150633996962,15.0553482097169,6.0335847202832
85,85,"Frontoparietal-38_L-Ctx",255,255,0,255,"L","Frontoparietal",7,408,"L_a9-46v_ROI",0.069528296191687,0.464903938900841,0.642350330304046,0.772673786387107,NA,19.3461591078219,7.45633779077755,20.3877117458908,10.7891490135743
86,86,"Cingulo-Opercular-42_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,232,"L_9-46d_ROI",-0.140703271754275,-1.18609429139231,0.23655927676749,0.415280099557599,NA,14.5092788566464,5.47135609101008,14.1920509789788,5.51618682082149
87,87,"Default-56_L-Ctx",255,0,0,255,"L","Default",9,561,"L_9a_ROI",-0.0454407428674943,-0.360974773702966,0.71838202915007,0.81742994759073,NA,17.1782058966063,6.42374452626907,17.4593264208983,7.22983080368842
88,88,"Default-57_L-Ctx",255,0,0,255,"L","Default",9,562,"L_10v_ROI",-0.0785889948100027,-0.717952509312626,0.473366532837345,0.640070001087031,NA,19.3719039153251,9.35324699044814,19.7066997558496,9.82413180826297
