"","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","cbv","cmr02","cmruglu","devexp","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta","scalingnih","scalingpnc"
"p32pr",-2.333168318,1.223635516,1.118652697,53.3061131,2.837993107,9.836965501,-18.88847677,6175.8077002992,5074.54609582779,6322.0299098238,0.0879663679590251,0.6082620899728,0.221967891492742,0.104830167077957,0.33752396258902,0.0239902468437844,0.0104966043752242,0.301191130217085,1.10484609832155,1.10534265954444
"a24",4.738901309,1.100247786,0.604936275,60.39815879,3.137868337,12.40959912,24.51642069,6405.65467834473,5066.96691894531,6229.85572814941,0.163595448732376,0.616293348371983,0.177988391835243,0.0857625065837055,0.344836264848709,0.02331480931025,0.0122437760874163,0.262104247696698,1.24040097370744,1.1906892247498
"d32",4.979694786,1.181754927,1.04189866,54.72726068,3.011285847,7.420041589,-1.614807537,6163.91345214844,4960.28051757813,6524.1594543457,0.16223791832189,0.628795357421041,0.186711173970252,0.0976552392821759,0.368296577595174,0.025221572665032,0.0121320468606427,0.309983390383422,1.16307058185339,1.06356802582741
"8BM",4.42519095,1.215447155,0.884212724,60.97764484,3.043634112,2.14529388,5.16854697,6433.99932617187,5154.50990234375,6987.1484375,0.0865081341891382,0.629644659757614,0.192365910708904,0.102872071415186,0.348660371899605,0.0256407333165407,0.0115625500306487,0.318898366689682,1.17627571821213,1.11337536811829
"p32",4.093168737,1.167166062,0.458971667,56.52196933,2.724460806,10.75163022,19.94026422,6207.20485276442,5027.80453725962,6384.88919771635,0.152742289721833,0.605633309254279,0.189129365178255,0.0939113695461016,0.384198289651137,0.0276645637618808,0.0151926284441008,0.289903784027466,1.1528093952399,1.07947066655526
"10r",5.583165024,1.210054707,0.26933957,65.60394547,2.61342293,6.467823953,20.21736591,6382.13844517299,5345.35182407924,6757.39622279576,0.0383174145525252,0.615823030471802,0.189552097448281,0.0918136098022972,0.390184119343758,0.0290590449502426,0.0170057499116021,0.282385383333479,1.02928281681878,0.920113329376493
"47m",4.503989118,1.383215265,0.922613596,77.09830649,2.723082069,-1.922118949,29.51260974,6279.62175641741,5195.84186662946,6842.77371651786,-0.194061089720991,0.652282182659422,0.206905905689512,0.0910461683358465,0.384544215032033,0.0290057361125946,0.0183886712683099,0.270109304359981,0.929245382547379,1.0211609176227
"8Av",6.093618148,1.256405544,1.366006434,72.73271848,2.732538446,-0.153167137,1.154318187,6074.31806320441,5087.96301069416,6982.02945696721,0.0989817116272798,0.626627477466083,0.199435934180119,0.108466915175563,0.346817583822813,0.0255025898213269,0.0118264011489075,0.30795056751517,1.17112463028705,1.20673881984148
"8Ad",5.743521528,1.242983714,0.585763251,66.69593491,2.579925551,2.110156099,28.38251627,6157.1293285473,5120.87171399915,7010.56030273438,0.134706259705126,0.634657442569733,0.191628374763437,0.101983600673643,0.356007019812996,0.0251073685248156,0.0118744341354515,0.313399201309359,1.19664780996941,1.19550335729444
"9m",6.248717644,1.16257272,0.57397801,58.42121251,2.887022813,5.245235446,25.22689521,5997.48751395089,4973.04539620536,6457.3723702567,0.0660989455212731,0.623977388654436,0.177532929394926,0.0958324774035386,0.373275300434658,0.0287989186655198,0.0157940091698297,0.308766363774027,1.12101020302091,1.06018156579563
"8BL",6.528720742,1.190529989,0.517823653,61.63205257,2.852952806,2.760459561,12.73740008,5646.52100929054,4617.51691828547,6290.60160209037,0.141524325575559,0.628424306173582,0.182555521259437,0.0988679014750429,0.357456728413298,0.0274003675660572,0.0140787933676227,0.319640679939373,1.15054396358696,1.11292925074294
"9p",6.115798524,1.186311837,0.513103039,66.69411537,2.538482135,2.720565866,17.47815237,5713.72002377717,4785.19110903533,6359.8473271909,0.201577598398382,0.633763016565986,0.179377822772316,0.0961063557668873,0.3688451965218,0.0271449032361093,0.0143906770516997,0.314135040925897,1.18610623608465,1.14184740315313
"10d",6.241241285,1.188814687,0.486270873,60.24963606,2.554117582,3.986966534,1.154318187,5867.11028053977,4985.3393022017,6542.50154474432,-0.102171007718425,0.61197873137214,0.177942022681236,0.0949106328866699,0.379897706617009,0.0340567539022727,0.0212294342165644,0.291963451558893,1.05821562138471,1.10363463705236
"8C",5.250130163,1.291776599,1.025261348,70.75482037,2.591687331,-0.707705584,18.01697788,6381.12042720734,5353.2279343378,7390.15444413442,0.0651067283765699,0.674197851665436,0.208390532504945,0.108126978552531,0.349667247325655,0.0245259353329265,0.0114416967456539,0.297847609198283,1.11950242519379,1.226044034201
"44",3.642548987,1.261437062,0.89356122,73.29573896,2.76029791,3.120753083,5.795062398,6352.56454190341,5425.68513627486,7084.23980158026,0.141372317664845,0.656324534253641,0.227641446007924,0.105936385521835,0.349058176306161,0.0267059368250722,0.0150718277912926,0.275586225092411,0.740855846892704,0.81808074360544
"45",3.960216308,1.291641913,1.448775618,72.54466278,2.645843274,-0.156104431,20.53104909,6203.15666975055,5202.25659608004,6918.62253289474,0.0025561562478088,0.635340492976339,0.219115282098452,0.0986776214681174,0.364650899380968,0.0277962209493445,0.0163768172721591,0.273383162523571,0.815634574806481,0.993706449082023
"47l",5.717270463,1.248066942,1.503341463,74.43269887,2.755347823,0.269615399,22.66317878,6133.37134415064,5184.61846454327,6729.82703575721,-0.204498950730671,0.632583199403225,0.213929843444091,0.0933319844114475,0.377132107814153,0.0280348393970575,0.0174172600396933,0.27015396570548,0.800493610210908,0.980262539325616
"a47r",5.699348875,1.203771451,1.436387556,73.54397104,2.669397218,1.718254711,1.154318187,5745.83895979256,4932.78535829741,6549.84140961746,-0.141145439968783,0.611772773594692,0.198911588767479,0.0936890656835046,0.384797965658122,0.0327849433082959,0.0213185419360625,0.268497895577858,0.867930187233563,1.00998850320948
"6r",-1.202369247,1.254677244,0.248202234,73.6382722,2.704866612,2.281345158,-25.19287112,6352.11464436849,5370.37481689453,6827.27311876085,0.14441576341898,0.60996309419473,0.243235428507129,0.107184777553711,0.33925537019968,0.0248727218454911,0.0138167483318183,0.271634959926208,0.991444126599365,0.995480782455868
"IFJa",0.981543724,1.348879873,0.659813902,69.54805408,2.566178448,1.303940063,15.83520297,6374.96153428819,5426.06633843316,7235.25014919705,0.100762535199716,0.662877172231674,0.219102466271983,0.10703430386881,0.350113338066472,0.0245160956142677,0.0121709754587048,0.287062828739484,1.07724524868859,1.05026946630743
"IFJp",1.418288213,1.340812743,0.3657404,69.60343674,2.547014866,5.033623495,-4.637107853,6398.12025035511,5532.19161339962,7213.47222715436,0.173878784088985,0.646582679315047,0.226333056886991,0.108225371349942,0.341814194664811,0.0232552696358074,0.0107982988102418,0.289573808511098,1.15860041343805,1.26773115721616
"IFSp",2.927724277,1.337703561,1.117337818,70.72945832,2.502015138,-3.662090865,21.39447511,6427.18560791016,5443.52380371094,7317.36320495605,0.118081377332823,0.661466961726546,0.212585687171668,0.10638045030646,0.356928874738514,0.0266233023139648,0.0141408582567237,0.283340839669108,0.847665091976523,0.898976549506187
"IFSa",0.843969621,1.271458715,1.69633,70.68250879,2.489731948,-2.316676317,8.494760581,6256.33421688988,5316.02118210565,7164.96301850818,0.0172613094486719,0.645506836119152,0.206990131310054,0.101139492754425,0.366777620854832,0.0289843268249006,0.0168606227130762,0.279247815410296,0.877780149380366,1.08672306367329
"p9-46v",3.28785268,1.267025549,1.120040132,73.61628475,2.529579768,-4.256697514,8.823177439,6255.78244676777,5319.53627642463,7216.94282322304,0.106849458501009,0.675621932628108,0.200580122716287,0.105740818030694,0.362274050128226,0.0274529464762,0.014564095576312,0.289387971747155,1.02912570565355,1.24919945585961
"46",0.065639252,1.209856023,1.265333588,71.90838191,2.564431712,0.252489273,17.59608872,6152.52607996324,5280.83980784697,6919.77102481618,0.144542027035027,0.657471586676205,0.191840639885734,0.101259394822752,0.366733970010982,0.0277391144293634,0.0148128408199067,0.297614037552301,0.977708252913812,1.3220895160647
"a9-46v",3.368475216,1.235374298,1.827765957,77.24330246,2.531326208,0.544144512,17.59608872,6259.43116295856,5338.56151282269,7258.22102156929,0.078607761164141,0.639820389125658,0.193631469879461,0.0978758817781573,0.375573380485825,0.0313260644755286,0.0186320658489738,0.282961137916731,0.94442151422086,1.13306917055793
"9-46d",1.092780526,1.214566152,1.210101754,69.06927565,2.452613574,0.224101205,9.375203453,6309.28547595796,5327.85976446243,7035.43703497024,0.123755332315341,0.672277691818419,0.188723311537788,0.0972379102770771,0.37262844791015,0.0277100863334324,0.0150852843209924,0.298614961405595,0.863367307044211,1.15058226883411
"9a",6.040810222,1.184590363,0.689564729,65.33341769,2.423823962,1.758070217,1.154318187,5739.2182525059,4901.69833431604,6429.880481648,0.0900779233609394,0.63517020895796,0.179653271189276,0.0946034579625669,0.376832656140597,0.0298350382736831,0.0171579083884662,0.301917668221132,1.02001950650845,1.03677885262471
