"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_5L",5641.96039287861,5514.38814603365,4968.93088003305,6178.21499399038,-4.97947331575247,0.586213571520952,0.339947135975728,0.11834658180865,0.258947460697247,0.0228369634670134,0.00890505297754246,0.251016804518608
"lh_24dd",6110.04601702009,4542.26623535156,5241.06496930804,6367.11073521205,-5.17450430733817,0.568760733093534,0.262081871713911,0.116879058629274,0.306896428125245,0.0245916361255305,0.00957522655704192,0.279975779141699
"lh_24dv",5952.45283647017,4664.20786354759,4958.58846768466,5916.29750754616,-4.62024745616046,0.580491525205699,0.2463780421425,0.11032640510662,0.320485992187803,0.0245040766894817,0.0103541870432144,0.287951292639429
"lh_7AL",5582.39605978261,4112.66398819633,4923.45032269022,6141.80352694746,-3.89333902234617,0.584337056546971,0.350961658833683,0.118025321999322,0.255796612172887,0.0212668280616619,0.00861988415050766,0.245329693823621
"lh_SCEF",6460.86216905382,5253.40329996745,5403.92011854384,6986.65473090278,-2.30032676261746,0.601137064397335,0.227266314749916,0.110969754453335,0.322128570742077,0.0243116224236372,0.00905793021795236,0.306265807814068
"lh_6ma",6010.08879394531,4728.59746500651,4984.68228352865,6670.22325032552,-1.18117228746414,0.604027299086253,0.217374568680922,0.111872186635931,0.322675775488218,0.026124144004037,0.0110249461295704,0.310928378005823
"lh_7Am",6073.55573167067,7015.52068810096,5390.06071213942,6607.88488581731,-1.66571258604527,0.599768141599802,0.369071893967115,0.109483323074304,0.254579941126016,0.0200551945429582,0.00832465584748066,0.238484996327987
"lh_7PL",6134.93791647518,8103.74889418658,5324.65405273438,6903.40050551471,-0.901438667712843,0.587659522014506,0.392478778081782,0.106966233209652,0.246927110587849,0.0194811921785859,0.00907904315082466,0.225067639613853
"lh_7PC",5641.51648615057,2939.98171608665,5194.39436257102,6375.83353160511,-4.51523594856262,0.595853494514119,0.345477414131165,0.123049021850933,0.257640888474204,0.0207227456298741,0.00838245106860995,0.244727480140599
"lh_LIPv",5945.15049235026,3790.50577799479,5438.4435933431,6934.09514363607,-3.86974199612935,0.614600153019031,0.359576392297943,0.115441172228505,0.257083470622698,0.0190798817978551,0.00790030359833812,0.240918780677021
"lh_VIP",5548.36720002003,4391.99258814103,4995.40592447917,6450.10921223958,-3.73895488029871,0.591636193104279,0.372096848793519,0.114100369123312,0.249513221856875,0.019973541633823,0.00877693691887917,0.235539079476626
"lh_MIP",6064.54486553486,4247.40957876352,5387.15616548978,7105.09163724459,-1.05578529147001,0.617895550452746,0.378629216207908,0.10914930429023,0.256114220676514,0.0181417391420557,0.00799215835734056,0.229973362615475
