gene,cor
ACTRT3,0.0325858146481548
ACVR1,0.220717194948777
ACVR1B,0.00988794965864179
ACVR1C,-0.122248341389671
ACVR2A,0.101226575139594
ACVR2B,0.00908741607591348
ACVRL1,-0.101808823619252
ACY3,-0.117924786187373
ACYP1,-0.151226124223588
ACYP2,-0.135477197424148
ADA,0.0308877589316287
ADA2,0.13427287561865
ADAD2,0.188158509103517
ADAL,-0.00087554181918164
ADAM10,0.194041369876653
ADAM11,-0.0621526154627508
ADAM15,0.0486718869386971
ADAM17,0.010098153809826
ADAM19,0.0785939535106548
ADAM20,0.16168131045212
ADAM20P1,-0.0221112720448806
ADAM22,-0.047548819020755
ADAM23,-0.0510436738655952
ADAM28,-0.0849104688244134
ADAM29,0.112585869594756
ADAM33,-0.0103525766427417
ADAM7,0.0762869365023249
