gene,cor
AFF4,0.0700807083084005
AFG1L,-0.108150084337583
AFG3L1P,-0.129337644147282
AFG3L2,-0.0365698264062351
AFMID,-0.129601849748116
AFTPH,-0.116512523503293
AGA,0.0851747127481695
AGAP1,-0.0610727772042583
AGAP11,-0.098477309945919
AGAP2,0.146839303304214
AGAP2.AS1,0.0136877188016012
AGAP3,0.0531246650253414
AGAP5,-0.0871605388544732
AGBL2,0.082334003013757
AGBL3,0.0140389847973485
AGBL4,-0.00698902083248069
AGBL5,-0.0572767814561285
AGER,0.0674771052592467
AGFG1,0.045798875747764
AGFG2,0.0857911995884757
AGGF1,-0.14404605853712
AGK,0.11079630976752
AGL,-0.00463719932187852
AGMAT,0.0186593940577459
AGO1,-0.214634780873737
AGO2,-0.12242202836574
AGO3,-0.0988953546852818
AGO4,-0.0350646459160446
AGPAT1,0.162865500449384
AGPAT3,-0.223483923866609
AGPAT4,-0.0510966160510592
AGPAT4.IT1,-0.151845584002459
AGPAT5,0.0992681781736399
AGPS,0.0397558136304685
AGRN,0.135142527440132
AGT,0.108132025797224
AGTPBP1,-0.0248127065466348
AGTRAP,0.0103941743995834
AGXT,0.0828536576222378
AHCTF1,0.0123129619716782
AHCY,0.133749560130888
AHCYL1,0.0701166745411792
AHCYL2,0.023901038107433
AHDC1,0.17100058391047
AHI1,-0.134812971823966
AHNAK,0.15302550160972
AHNAK2,-0.0536114099524652
AHR,0.0107753171871855
AHRR,0.213664984794475
AHSA1,-0.108021770364079
AHSA2P,-0.1483662206906
AHSG,0.0810669461091659
AIDA,-0.200620841224575
AIF1,0.0763306490296961
AIF1L,-0.217611381290889
AIFM1,-0.240357572132099
AIFM2,0.0853978728292113
AIFM3,-0.205306463915465
AIG1,0.164292495588365
AIM2,0.132078019614598
AIMP1,-0.11023667451252
AIMP2,-0.0179840305868652
AIP,-0.0981710734994983
AIRE,-0.0227146583766784
AJAP1,0.136926987224245
AJM1,0.0502823255816438
AK1,-0.132004175176664
AK2,-0.231536367999631
