gene,cor
ACTRT3,0.0807797208568982
ACVR1,0.0945497004698301
ACVR1B,-0.1075385272942
ACVR1C,-0.278437558350808
ACVR2A,0.317857339088072
ACVR2B,0.169303607476717
ACVRL1,-0.194713180994168
ACY3,0.0461850849484503
ACYP1,-0.116571439714906
ACYP2,-0.24202261925556
ADA,0.137771987912152
ADA2,-0.0082406756095124
ADAD2,0.0673120548402564
ADAL,-0.104802900019561
ADAM10,0.172421935092187
ADAM11,-0.18226561596271
ADAM15,0.00883229108708318
ADAM17,0.0249101995971791
ADAM19,0.120575966927569
ADAM20,-0.058709599204759
ADAM20P1,-0.14163080020982
ADAM22,-0.252646013966013
ADAM23,-0.312475806848268
ADAM28,0.128693535788841
ADAM29,-0.0562891087972335
ADAM33,-0.0367621245133707
ADAM7,0.0183504052574114
